text,label,notes
"David Lynch’s The Elephant Man.

A bunch of us soldiers drove thirty miles to Waikiki to see it. On the way, we were a rowdy bunch of young guys.

Returning home, no one spoke. It took a week before I felt normal again. Much like the Japanese say about climbing Mount Fuji, a wise man climbs it once, but only a fool climbs it twice.",reaction,
"Grave of the Fireflies (1988) is an animation movie, but it literally broke me after finishing it!!


Upvote
4.3K

Downvote

Reply

",reaction,
"Eternal Sunshine of the Spotless Mind. Amazing movie, but it hurt in a very real way. Absolutely worth watching but I'm not going to see it again.",reaction,
"Threads-I watched this when it first aired, which was a mistake for a ten year old.

I've owned it on DVD twice, as well as blu ray, and every time it gets repeated I start to watch it... And every single time as soon as the bombs drop I have to turn it off. I just can't.

Such an important and powerful film, but the most horrifying and realistic way that civilisation will end I've ever seen. Zombies I can watch as it's just so unrealistic, but Threads... The way things are going, it could happen today, and there's not a god damn thing we could do about it.

Only thing I've seen where I think ""well, if that happened, I'd be better off dead, as there's no hope, no relief, no rescue, and nothing to live for""",reaction,
"The Florida Project. Fantastic fucking film, but it's hard to watch more than once. Similar logic could be applied to Room.",reaction,
"I've only seen The Never Ending Story once in elementary school. I'm 41 now, and still haven't gone back to it, mainly due to the swamp of despair, or whatever it was called. However, I do remember it being a really good movie.",reaction,
"Surprised I haven’t seen anyone post about Sophie’s Choice.

I saw that before I had kids and even then I knew I could never watch that again. I’ve never recovered.",reaction,
Hachi: A Dog’s Tale I was trying to remember the name of this while I was scrolling. Easily the most devastating dog movie of all time and not in the way anyone’s expecting here,reaction,
"""Full Metal Jacket"" it was intense and I watched it the night before going into Army bootcamp at 18 years old. Didn't sleep the whole first two nights of basic.


",reaction,
"I couldn’t sleep last night/this morning so I watched Hamnet not knowing much about it. I’m a 48 year old father of three nearly adult kids and this movie broke me this morning. Not manly tears, like embarrassing sobbing sitting on my couch in the dark with my dogs looking at me all ashamed for me.",reaction,
"
Onward utterly wrecked me in the theater. I lost my dad when I was a kid, and the movie is about two brothers on a quest to have one last conversation with their late father. So it absolutely hit ALL of my childhood struggles and pains. 

It was so good. And once is enough. ",reaction,
"Boys Don’t Cry. Such an extremely hard movie to watch, especially knowing it’s a true story. I cried my eyes out at the end. 

Also, another true but tragic movie, The Matthew Shepard Story. I get teared up to this day remembering when it happened. 

Two true stories about two human beings just trying to live life as their true selves. It’s extremely sad that some people to this day still garner so much hate for the lgbtq+ community. No one should have to look over their shoulders fearing how their sexuality could possibly provoke someone into killing them. ",reaction,
Blue Valentine - I’ve seen this movie so many times but I’m also a glutton for pain and love Ryan Gosling and Michelle Williams. They are so good in this movie.,reaction,
"Irreversible.

The effects on the fire extinguisher scene deserve an award that should be immediately buried forever.",reaction,
"AI, with Haley Joel Osmet. Fucking heartbreaking. The first time I saw this was in the theater with a group of friends. Everyone was bored and complaining, so I didn’t get into it and thought it was kinda lame. Then I met my partner and the whole family spoke about how they sobbed so hard. I didn’t think we were talking about the same movie. Re-watched it and sobbed so hard.",reaction,
"Big Fish.

Oh, and M. I was tripping balls on acid and I basically had a religious experience during the trial scene. I know a rewatch will never live up to that.",reaction,
"An American Tale. As a parent, watching another parent lose a child and then have them reunite really hits the feelings.

Or Deep Impact and watching the parents send their kids off to survive and face their own death.",reaction,
"Groundhog day. When you watch it as a kid you think 'oh cool he's in a timeloop, he can get the girl with the cool stuff he learns' 

As an adult you realise that he was basically cursed and blessed as a quasi immortal in a timeloop in which he could play god without consequences, got depressed because he stuck for what was at minimum decades and tried to kill himself plenty of times, the people around him effectively die to him every day when they get reset. Without any explanation whatsoever or a guarantee to be free if he gets the girl.",reaction,
Goofy Movie is a big change as an adult. I don’t even have kids but it still hits home imagining my dad in the goofy role and the ungrateful prick I was as a kid.,reaction,
"Election (1999) squeaks under the wire as a Nineties movie. This one came out during a glut of teen movies and was unfairly written off as being just another face on the bandwagon. Being made by MTV Studios didn't help its credentials either. Director Alexander Payne would later to on to critical acclaim with Sideways and Oscar gold with About Schmidt, but this early movie showed what he could do.

Perky overachiever from hell Tracy Flick (Reese Witherspoon, in a characterization many have compared to Hillary Clinton) is running unopposed for student president. Her long suffering social studies teacher Jim (Matthew Broderick) thinks that Tracy is an evil, manipulative liar. As his personal life crumbles, his desire to see Tracy fail once - just once - becomes an obsession that consumes him.",hot take,
"The Dark Knight: It felt to me like some kind of super-sized Big Mac, with many plot threads stacked up like greasy patties. By the time the movie detoured into “this guy might know Batman’s identity” or whatever, I started to wonder if maybe they could have tightened the script just a tad…

The boat scheme with the Joker feels thematically heavy-handed and trite. The film too often looks visually anemic (Bruce’s underground lair is so devoid of personality or distinguishing features that it’s almost hilarious). And the melodrama seems both over-the-top and half-hearted at the same time. Overall the film feels more like a checklist of themes than an immersive experience.

At a Q&A many years ago, Nolan was asked if he learned anything from the Burton films. He said something like… yes, he admired some of the 1989 original. When immediately asked about Batman Returns, he repeated that he admired some of the 1989 original. I find that an uncharitable response, especially since almost any given image in Returns is more compelling — or at least more weird and/or fascinating — than the lion’s share of TDK footage (though Pfister’s cinematography is very nice at times).",critique,
The Batman. Painfully boring and an hour too long,hot take,
The whole third act of Interstellar is a goddamn mess and I don't understand why every 25 year old film bro acts like it's the greatest movie ever made,hot take,
Sinners.... I just didn't get it. And it felt 30 minutes too long. Glad everyone else liked it.,hot take,
One Battle After Another. In the theater I felt like I must be watching a different movie than everyone else did. Like the projectionist was playing a prank on me. This can't be the real movie.,hot take,
"Pan's Labyrinth

The way the movie looks is absolutely perfection but I thought it was just okay.

I'd even go as far as say that the movie is completely forgetful if it wasn't for the excellent visuals and overall direction.",hot take,
"Parasite. It was fine (for me) and I didn’t hate it. I also can recognize it was a well done, tight script, but it just didn’t do anything for me.",hot take,
"Don't Look Up. Seemed like most people loved it. I could barely hang, but did finish watching.
Not that I disagreed with the ideas they were putting across, but it just seemed like too obviously a propaganda piece, which yanked me right out of it.",hot take,
"
Maybe not everyone, but The Lighthouse. Couldn't stay awake and never finished it.",hot take,
"I don't know if everyone loves it, but Rudy 😂

Some people see it as an inspirational story about hard work and persistence paying off or an underdog proving everyone wrong. In fact, way back in high school they showed that move and had Rudy come talk.

I'm not sure how they got all that out of it. I found it pretty pathetic, and the only real chance for ""inspiration"" would really come from that first star athlete that put his jersey down for Rudy IMO",hot take,
"The Shawshank Redemption. Boring and did not care for anybody in it. Also Everything, Everywhere All at Once, such absurd garbage.",hot take,
"I've rewatched Dark Knight 3 times. Once when it first came out in Imax, once on bluray, and one time on 4k. I hated it the first time, thinking it features poorly cut action sequences, hamfisted messaging around surveillance and the whole boat thing, and bloated by combining Two Face snd Joker without doing Two Face justice.

On rewatch, I disliked it a bit less as a tolerably Mediocre action film. Which is what it remains to me.

And note, I actually really liked Begins.",hot take,
"Whiplash - just watched it for the first time a week ago and nothing about it worked for me. I think people need to rewatch this movie because it really did not work for me in any way. Felt like a sports movie disguised as a jazz movie.

Edit: geez why I am I getting downvoted? I guess I didn’t really explain myself in the original post so here goes…

I think my issue with Whiplash is how cartoonish its idea of greatness is. The movie basically equates playing until you bleed with good drumming, which feels wildly reductive if you know anything about music. Suffering is not the same thing as mastery, but the film treats pain like proof of talent.

I also really dislike the underlying message that you need to be abused, or willingly submit to abuse, to be exceptional. That is a pretty toxic worldview, and the movie never seriously interrogates it. It mostly celebrates it.",hot take,
"I was excited to see Death of a Unicorn because of all the buzz about it and thought the concept was neat. And Paul Rudd! It was an okay movie at best. I'm not even sure why I think that, it just did nothing for me. It didn't flow at all to me and felt clumsy with the story.",hot take,
"Nosferatu (2024). I confess I am very annoying about Nosferatu (1922), but I hated how they made Ellen a ""chosen-one"" rather than a woman who decided to fight against Orlok, I hated how unsubtle Orlok was (fucking her outright, murdering kids in the middle of it, absolutely no subtlety like how Max Shreck could impart so much just by moving his finger), and I hated that they basically underplayed the plague/Empusa plot. I really like the Empusa plot.

Like, yeah it's a well-crafted film technically. Eggers is great for historical details. I just feel like it missed the point of what Murnau was going for with how he adapted Dracula, and also it was visually dark as hell and hard to parse*.

*I might just have bad vision so take that with a grain of salt. I struggle with very dark scenes or, as I've learned recently, 35mm artefacts.",hot take,
"i thought portrait of a lady on fire was boring and insipid, but maybe it would be different had i been born a woman",hot take,
"""Cloud Atlas"" comes to mind as I get folks not into the time jumping and actors as multiple characters. More recently, I do get why some folks would dislike ""Everything Everywhere All at Once"" as so wild (even if I do think the ones acting like its very existence is an affront to humanity is a bit much) and impossible to follow.",hot take,
Uncut Gems. I’ve noticed a lot of people say they get anxious from this movie. I absolutely love the vibe of the movie.,hot take,
"Annihilation.

I love the slow build and the eerie ambiance but I understand the ending is jarring and not for everybody.


",hot take,
"Pacific Rim is my favorite movie. I think it kicks ass. It's also completely ridiculous. My mom laughed at it the whole way through when I showed it to her, and I don't blame her.",hot take,
"
Arrival. It’s one of the most beautiful films I’ve ever seen but can fully understand why someone people might think it’s boring, schmaltzy shite.",hot take,
"Equilibrium. Have heard some people say it's cheesy or the story is cliche, but it remains one of my favorite action films. ",hot take,
"I adore the discursive, meandering, pontificating The Tree of Life, but completely understand why some people can’t do it.",hot take,
Skinamarink. It's either the scariest movie ever or the most boring movie ever based on what scares you and how you watch it.,hot take,
I think Prometheus is a good shout here. I love it but there are so many things to complain about,hot take,
"Sky Captain and the World of Tomorrow. I collect old pulp sci fi magazines and when this movie came out, I fell in love HARD. It was the first and only time I felt like someone had made a movie just for me.

But I can see how the style and setting could turn people off. It’s the kind of movie that is hard to sell to a wide audience—there aren’t enough people around who would appreciate it for what it is and what is was trying to do. And they’re probably all so old they no longer go to theaters.",hot take,
Poor things. The characters dialogues aesthetics message settings and the twisted comedy of it all...I just loved everything about it. But I would be weired out if everyone univeraally loved it like I did ngl. It's a weird movie,hot take,
Pain and Gain. Yes it's Michael Bay but the dark twisted humor of the film just lands for me. Its like a gym bros version of a Coen Brothers film. I totally understand why my other film fan friends can't stand it. ,hot take,
"The reverse. Watching Napoleon Dynamite is an hour and 45 minutes of my life I’ll never get back. It bored the hell out of me. Then I saw a “Vote for Pedro” button on a friend’s niece’s backpack and asked her why she liked it.

“I went to school with every one of those characters.”

GOT IT! I completely understand now. Im 58 now and literally I’m too old. But it’s the same reason Fast Times at Ridgemont High and pretty much every John Hughes movie hit so hard for me. I knew every one of those characters back in high school!",hot take,
"Tenet. I love the vibe, the music, the action, and I like the actors. I even like the story. But I get some of the complaints about the difficulty of the plot and hearing the dialog.

I turned off Everything Everywhere after about 30 minutes. It was just annoying to me. I remember being disappointed with Cloud Atlas but that was a long time ago. May give it a re-watch some time. ",hot take,
Marty Supreme. I know some people just can't get by the protagonist being such an assh*le,hot take,
"Primer 

I've seen it about 10 times and adore it and even almost understand some of it

I can fully understand why the general film watching public would be put off by the filming style, the budget and the complete absence of any audience hand holding though",hot take,
"Raw.

Horror is polarising at the best of times but it's especially bad when one gets hype and people are walking in expecting a lot.

On top of that Raw just isn't really what you expect it to be. Like okay, the movie does offer a degree of what you might hope for genre wise from the basic premise but it leans on the allegory aspects of it a lot harder than you expect and as a result I could see it feeling like it doesn't deliver on the actual horror elements enough.",hot take,
"
Starship Troopers

I loved it when I saw it on the big screen when I was 11 (my Dad let me watch a few movies that retrospectively maybe he shouldn’t have, but that is neither here nor there).

I still love it all these years later, even more so now that I fully understand what it was satirizing.

However I can totally understand why someone wouldn’t like it, especially if that person didn’t know it was supposed to be satire. It’s VERY campy, and the plot makes zero sense. Nor could I argue with someone who claimed that the whole concept was more than a little corny/cheesy.",hot take,
"Wonder Woman 1984. It’s a garbage movie and everyone knows it. But when I first saw it was about a month after my dad died, and the scene at the end with Max Lord telling his son that he just wanted him to be proud of him and his son telling him that he was already proud of him. I know it’s only because I was in a weakened emotional state, and wished that I could still tell my dad that I was proud of him, I genuinely cried for that awful awful movie.",hot take,
"I fucking love Cloud Atlas! I know it’s weird and has some issues but I find it beautiful. Also the soundtrack is amazing. I saw it with a couple and me and the boyfriend like it a lot but my other friend didn’t like the non-chronological story telling. She said she’d like it more if it was a series of short stories and we had to talk about why that kinda defeats the purpose of the movie.

I saw The Last Testament of Ann Lee and thought it was amazing. It is slow but I found it very interesting and enjoyed all the singing. The dancing is very cool as well. I saw it with my mom and I could tell she didn’t like it as much as me. It’s a musical but not quite in the traditional sense so I can see why some may not like it.",hot take,
"Only God Forgives. I get a kick out of seeing Gosling get emasculated, Kristen Scott Thomas hamming it up, the slow pace and beautiful cinematography. But I can see how one would not want to spend two hours like that. ",hot take,
"Spider-Man 3, I’ll always defend that movie with my heart but I 100% understand its flaws especially compared to the masterpieces that were the first two movies. Most of it is just nostalgia for me. I was 6 years old when S3 came out and it was the very first movie that I remember counting down the days for release and being legitimately hyped for and seeing it opening weekend. I kept the promo popcorn bucket for that movie for sooo long I wish I still had it. But I completely understand the hate it gets, I still personally love the entire trilogy.",hot take,
Castaway. I love it and think the writing and acting is great. But can see how people may see it ridiculous and boring.,hot take,
"Project Hail Mary: As with the previous adaptation of Weir’s work, it’s a film that gleefully presents basic scientific principles and logic clumsily sewn together with a story and outlook that feels very much like something an enterprisingly affable 15-year-old might come up with while daydreaming in Physics class. The film too often defaults to this sort of cringey geniality, a simplistic view of human emotional mechanics that renders the drama toothless. Like a warm-hearted kids’ Disney movie, you know full well things will turn out just fine for our heroes, and the galaxy they’re defending, because the film constantly telegraphs its cheerful intentions. It’s as if Lord and Miller (and Weir) are afraid of making the audience feel real anxiety or stress, so like a second-grade teacher explaining the concept of greenhouse gasses with their students, they work very hard to let all of us know everything will work out okay. It’s certainly not the worst quality in a film, but its lack of stress well belays its extended run time (156 mins), and makes for an unsatisfying experience: My parents saved the Cosmos and all I got was this lousy t-shirt.",critique,
"Project Hail Mary isn’t all that concerned with the science in its fiction; like the inverse of its slacker-cool scientist lead, the film is actually a schlubby buddy comedy dressed up in the finest hard sci-fi regalia that Amazon MGM could afford. It’s a far less nuts-and-bolts affair than The Martian, and a more frustratingly structured one thanks to the amnesia, but it doubles down on the astronaut charm offensive, flooding its sweet space odyssey not with big questions, but small signs of growth.",critique,
"""Project Hail Mary"" feels, in many ways, like a miracle of a movie. It combines the technical awe of “Gravity,” the problem-solving exhilaration and humor of “The Martian,” and the sweeping emotion of “Interstellar” into one film with its own unique style and charm, crafting a new science-fiction space epic that celebrates the bravery in all of us, our capacity to do the right thing in the face of overwhelming odds, and our faith in science to lead us toward a better future, whether it’s on Earth or somewhere far beyond it. Ryan Gosling delivers one of his finest performances in years, commanding what is essentially a one-man show that will have you laughing one moment and crying the next. Daniel Pemberton’s score is immaculate as it reaches for the stars and finds that transcendent quality that lifts the film into a state of pure wonder. The shifting aspect ratios of Greig Fraser’s camerawork bring both intimacy and scale in equal measure. All of these elements and more come together under the assured, visionary direction of Phil Lord and Chris Miller, who have brought a beloved book to the big screen in a crowdpleasing cinematic experience many will feel, cherish, and not soon forget.",critique,
"It’s an enjoyable, yet overly familiar, excursion. By disavowing narrative and aesthetic boundaries, “Project Hail Mary” struggles to become boundless. The harder the film tries, the more one feels pulled along rather than effortlessly transported. ",critique,
"The flashbacks badly hold the film back in the second act. In its mixture of lighthearted adventure and more thoughtful cosmic reflection, Project Hail Mary most resembles the original Star Trek films, especially the lighter The Voyage Home. The film shares with that series the indefatigable optimism of an earlier time when the genre reflected our broader hopes for the possibilities of science and the potential of humanity to not merely contact the other species of the universe but win their approval.",critique,
"Spielberg’s sci-fi movies have always been about more than just pure entertainment from the way his parents’ divorce influenced “Close Encounters of the Third Kind” and “E.T.” to how “WotW” can be read as a 9/11 allegory to the cautionary tales of “Jurassic Park” and “Minority Report,” which feels like a key influence here when it comes to themes of both destiny and control. With “Disclosure Day,” he’s less interested in the impact than the ripple effect. What would happen if we knew the truth? Would it unite us or divide us further? And what would happen to faith and religion if we discovered other “supreme beings”? Spielberg's career has long been one of embedding filmmaking confidence with human curiosity, and both elements are on full display here.",critique,
"“Disclosure Day” provides a canvas for Spielberg’s considerable filmmaking skills, with visual set pieces, thrilling action scenes — including a pulse-pounding train sequence — and expert blocking. Sequences of Margaret simply walking through a crowded TV news set have the intricate construction of an old Hollywood musical number.",critique,
“Disclosure Day” is an old man’s movie. I don’t mean that in a derogatory or ageist way; I mean that this is a film the director could not have made in his younger days. Because every skill he acquired back then is now being used to shape and inspire his most recent work. There’s the perspective of a wiser,critique,
"This stellar thriller is a deliriously pointed cautionary tale about the perils of getting what you want, and an instant contender for classic midnight-movie status. Poking and prodding viewers in order to challenge their feelings about the “moral obligation” partners have to each other, Curry Barker's theatrical debut is the best kind of nightmare: relatable, knotty, amusing, and absolutely unhinged.",critique,
"Curry Barker’s “Obsession” is consistently f-ed up, and I mean that as a compliment. I see so many horror movies that threaten to get weird and gnarly, only to pull their punches right when shit gets real. Barker pulls nothing, getting darker, creepier, and bloodier with each passing scene in this study of extreme dependence. Some of the performances are a bit clunky, but that almost makes it more charming, a reminder of how great it can be when a horror movie sneaks up out of nowhere and punches you in the face. I was unfamiliar with Barker’s previous work. I plan to seek it out now. With the right studio, this movie should break him big.",critique,
"At its rotten core, the character of Nikki is what makes Obsession so relentlessly scary. Upon its eventual release, much attention will likely spotlight Barker’s penchant for shocking gore and next-level jump scares. But the film’s purest horror lives in its fleeting glimpses of Nikki’s existential torment and Bear’s unforgiving burdens of grief and regret. On the page, this might just look like A24 horror filtered through a Gen Z lens. But in practice, it’s something altogether new: a brutal, expert vision of the next generation of hardcore horror. And don’t kid yourself—you’re not ready. I sure wasn’t.",critique,
"Obsession is a new modern horror masterpiece that makes Barker one of the latest voices in the genre to keep an eye on as he knocked it out of the park with this one, creating as interesting, engrossing, dark film that ranks up there with Zach Cregger’s Weapons as one of the best horror films of the decade so far. Johnston and Navarrette are brilliantly cast in this film, with Navarrette delivering the stunning performance that will rank as one of the best by year’s end, alongside the film’s impeccable sound work, expert editing by Barker, and killer score by Rock Burwell.",critique,
